name,position,company_name,industry_group,source,scraped_date
Chan Hai Kiang,Chairman,Flexspeed Technology Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Benny  Yeo,AEM IG Members' Internationalization WG Chairman New Members Recruitment & Retention WG Deputy Chairman,Communication 21 (S) Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Tay Chor Kuan,AEM IG Members' Internationalization WG Deputy Chairman,Heidenhain Pacific Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Marcus  Sia,Training & Placement WG Deputy Chairman,Applied Total Control Treatment Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Jarius  Draslaric,Committee Member,Jing Rui Precision Engineering Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Anna  Soh,Committee Member,TianCheng Electrical Marine Equipment Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Gerry Ong,Committee Member,GD Precision Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Raymond Wee,Committee Member,Salestrade Corporation (S) Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Oliver  Chong,Committee Member,Kawarin Enterprise Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Kelvin  Tan,Committee Member,Bayswater Shipping & Forwarding Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Sun Rui Kang,Committee Member,Alpha Automation Technology Pte Ltd,Advanced Engineering and Manufacturing,SMF Industry Groups,2026-01-14
Benjamin  Lim,Chairman,Iwa Design Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Alvin  Chow,Deputy Chairman,Printec Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Gilbert  Chua,Deputy Chairman,Geonamics (S) Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Gan Geok  Chua,Committee Member,Singapore Safety Glass Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Catherine  Chew,Committee Member,Sintalow Hardware Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Sivinder  Singh,Committee Member,Dormakaba (S) Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Joe Ong,Committee Member,ROCKWOOL Building Materials (Singapore) Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Joseph Ang,Committee Member,Khoon Development Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Marcus Lim,Committee Member,Asiateck Industrial Supplier Pte Ltd,Building Products & Construction Materials,SMF Industry Groups,2026-01-14
Christanto Suryadarma,Chairman,Zebra Technologies Asia Pacific Pte Ltd,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Tan Boon Chong,Committee Member,GP Batteries International Limited,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Stanley  Ong,Committee Member,Intertek Testing Services (Singapore) Pte Ltd,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Sze Thiam Siong,Committee Member,Setsco Services Pte Ltd,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Tan Beng Koon,Committee Member,Fung Yip Electric Pte Ltd,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Raymond Wang,Committee Member,Fishbowl Pte Ltd,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Jason Tay,Committee Member,Xfers Pte Ltd,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Roy  Toh,Committee Member,Battery Asia (S) Pte Ltd,"Electrical, Electronics and Allied Industries",SMF Industry Groups,2026-01-14
Michael Wong,Chairman,Tuas Power Supply Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Chester Chan,Deputy Chairman,PetroChina International (Singapore) Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Ellen Teo,Committee Member,Union Energy Corporation Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Laurence Kwan,Committee Member,ClimateCrafters Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Sentil Kumar,Committee Member,EnergiTranz Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Teo Seong Wah,Committee Member,Energy Market Company Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Stephanie Song,Committee Member,GenTrack Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Stephanie Nai,Committee Member,ClimateCrafters Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Jen Wee,Committee Member,Redex Pte Ltd,Energy & Chemicals,SMF Industry Groups,2026-01-14
Cheong Chung Kin,Chairman,Win Sin Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Lee Gee Chyn,"Vice Chairperson, BCRS & Regulations",Nestle Singapore (Pte) Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Eugene  Tan,"Vice Chairman, MICE",Wanin Industries Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Vincent Tan,Committee Member,Savory Origin Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Willie  Foo,Committee Member,Alternative Selection Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Chenchill  Kho,Committee Member,Pepsico International Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Yifan  Jiang,Committee Member,Olam Food Industries,Food & Beverage,SMF Industry Groups,2026-01-14
Taisha  Antony,Committee Member,Asia Pacific Breweries (Singapore) Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Yvon Lim,Committee Member,F&N Foods Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Karin Tan,Committee Member,Abbott Laboratories (Singapore) Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Alex Lee,Committee Member,Pacific Refreshments Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Lim Xiao Wen,Committee Member,F&N Foods Pte Ltd,Food & Beverage,SMF Industry Groups,2026-01-14
Mohan  Kumar,Chairman,Strides Pharma Global Pte Ltd,Life Sciences,SMF Industry Groups,2026-01-14
Adam  Hamid,Committee Member,Naina Mohamed & Sons Pte Ltd,Life Sciences,SMF Industry Groups,2026-01-14
Sandeep Lavalekar,Committee Member,PharmaGend Global Medical Services Pte Ltd,Life Sciences,SMF Industry Groups,2026-01-14
Manohar Nandiraju,Committee Member,ICM Pharma Pte Ltd,Life Sciences,SMF Industry Groups,2026-01-14
Susan Fong,Committee Member,Teva Pharmaceutical Investments Singapore Pte Ltd,Life Sciences,SMF Industry Groups,2026-01-14
Raymond  Lam,Committee Member,Sino-Innovax Biotec Pte Ltd,Life Sciences,SMF Industry Groups,2026-01-14
Jarius Draslaric,Chairman,Draslaric Group,Lifestyle,SMF Industry Groups,2026-01-14
Edmund  Ong,Deputy Chairman,Daiyo Electronics (s) Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Wayne  Sim,Committee Member,Sing Chye Heng Investment Holdings Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Amos  Tan,Committee Member,ActiveCool Fashion Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Tan Tong Hong,Committee Member,Big Box International Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Theodore Khng,Committee Member,Theo10 Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Gan Shee  Wen,Committee Member,Koda Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Andy Wong,Committee Member,Uniq Creation Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Glen Ang,Committee Member,Hoover Melamine Industries Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Tan Yu Chuan,Committee Member,See Hai Tat Medical Hall (S) Pte Ltd,Lifestyle,SMF Industry Groups,2026-01-14
Eugene Yoo,Chairman,Johnson & Johnson Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
Gideon Lim,International Expansion,BioMedix Singapore Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
James  Chan,Regulatory,Varian Medical Systems,Medical Technology,SMF Industry Groups,2026-01-14
Mindy Loh,Reimbursement & Procurement,Johnson & Johnson Asia Pacific,Medical Technology,SMF Industry Groups,2026-01-14
Gjan  Lim,Members Engagement,Healthcare Essentials Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
Kunal Bhatia,Ethics & Compliance,Johnson & Johnson Asia Pacific,Medical Technology,SMF Industry Groups,2026-01-14
Henry  Tan,Advisor,Alpha-Health Asia Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
Margareta  Laminto,Advisor,Fullerton Healthcare Group Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
Kandyce  Ong,Corporate Affairs,AstraZeneca Singapore Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
Josephine Teo,Membership Development,BioMedix Singapore Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
Goh Khoon Seng,Start-Up,Osteopore International Pte Ltd,Medical Technology,SMF Industry Groups,2026-01-14
Tung Chee Seng,Committee Member,Tipps Pte Ltd,Packaging Council of Singapore,SMF Industry Groups,2026-01-14
Kelly Tan,Committee Member,iGreen Go Pte Ltd,Packaging Council of Singapore,SMF Industry Groups,2026-01-14
Lily  Toh,Committee Member,L'earth (S) Pte Ltd,Packaging Council of Singapore,SMF Industry Groups,2026-01-14
Joanna  Tan,Committee Member,Starlite Printers (Far East) Pte Ltd,Packaging Council of Singapore,SMF Industry Groups,2026-01-14
Chika Imakita,Committee Member,Greenpac (S) Pte Ltd,Packaging Council of Singapore,SMF Industry Groups,2026-01-14
Johnny  Tan,Committee Member,Sing Mah Wooden Cases Manufacturer Pte Ltd,Packaging Council of Singapore,SMF Industry Groups,2026-01-14
David  Chia,Chairman,Beckhoff Automation Pte Ltd,Smart Automation,SMF Industry Groups,2026-01-14
Mun Kok Woh,Deputy Chairman,Astech Pte Ltd,Smart Automation,SMF Industry Groups,2026-01-14
Daniel  Lau,Committee Member,Servo Dynamics Pte Ltd,Smart Automation,SMF Industry Groups,2026-01-14
Sew June Sung,Committee Member,Tecmaven Group Pte Ltd,Smart Automation,SMF Industry Groups,2026-01-14
Ang Chor Chen,Committee Member,Sestos Robotics Pte Ltd,Smart Automation,SMF Industry Groups,2026-01-14
Brandon Lee,Committee Member,Cantier Systems Pte Ltd,Smart Automation,SMF Industry Groups,2026-01-14
Logan Chen,Committee Member,Lenovo (Singapore) Pte Ltd,Smart Automation,SMF Industry Groups,2026-01-14
