scenario,active_users,service,total_monthly_cost_usd,cost_per_active_user_usd,share_of_total_percent
low,1,Browserbase,20.00,20.00,17.50
low,1,Firecrawl,16.00,16.00,14.00
low,1,Composio,29.00,29.00,25.37
low,1,Supabase,25.00,25.00,21.87
low,1,Vercel,20.00,20.00,17.50
low,1,Brave_Search,0.15,0.15,0.13
low,1,Exa,0.13,0.13,0.11
low,1,OpenRouter,2.11,2.11,1.85
low,1,OpenAI_Whisper,0.05,0.05,0.04
low,1,Inworld_TTS,0.03,0.03,0.02
low,1,Gemini_2_5_Flash,0.08,0.08,0.07
low,1,ExtendAI,0.13,0.13,0.11
low,1,Vercel_Sandbox,1.65,1.65,1.44
low,5,Browserbase,20.00,4.00,15.20
low,5,Firecrawl,16.00,3.20,12.16
low,5,Composio,29.00,5.80,22.04
low,5,Supabase,25.00,5.00,19.00
low,5,Vercel,20.00,4.00,15.20
low,5,Brave_Search,0.75,0.15,0.57
low,5,Exa,0.63,0.13,0.48
low,5,OpenRouter,10.55,2.11,8.02
low,5,OpenAI_Whisper,0.24,0.05,0.18
low,5,Inworld_TTS,0.13,0.03,0.10
low,5,Gemini_2_5_Flash,0.40,0.08,0.30
low,5,ExtendAI,0.63,0.13,0.48
low,5,Vercel_Sandbox,8.25,1.65,6.27
low,10,Browserbase,20.00,2.00,13.06
low,10,Firecrawl,16.00,1.60,10.45
low,10,Composio,29.00,2.90,18.94
low,10,Supabase,25.00,2.50,16.33
low,10,Vercel,20.00,2.00,13.06
low,10,Brave_Search,1.50,0.15,0.98
low,10,Exa,1.25,0.13,0.82
low,10,OpenRouter,21.10,2.11,13.78
low,10,OpenAI_Whisper,0.48,0.05,0.31
low,10,Inworld_TTS,0.25,0.03,0.16
low,10,Gemini_2_5_Flash,0.80,0.08,0.52
low,10,ExtendAI,1.25,0.13,0.82
low,10,Vercel_Sandbox,16.51,1.65,10.78
low,25,Browserbase,20.00,0.80,9.18
low,25,Firecrawl,16.00,0.64,7.34
low,25,Composio,29.00,1.16,13.31
low,25,Supabase,25.00,1.00,11.48
low,25,Vercel,20.00,0.80,9.18
low,25,Brave_Search,3.75,0.15,1.72
low,25,Exa,3.13,0.13,1.43
low,25,OpenRouter,52.75,2.11,24.22
low,25,OpenAI_Whisper,1.20,0.05,0.55
low,25,Inworld_TTS,0.63,0.03,0.29
low,25,Gemini_2_5_Flash,2.00,0.08,0.92
low,25,ExtendAI,3.13,0.13,1.43
low,25,Vercel_Sandbox,41.26,1.65,18.94
low,50,Browserbase,26.00,0.52,7.63
low,50,Firecrawl,25.00,0.50,7.34
low,50,Composio,29.00,0.58,8.51
low,50,Supabase,25.00,0.50,7.34
low,50,Vercel,20.00,0.40,5.87
low,50,Brave_Search,7.50,0.15,2.20
low,50,Exa,6.25,0.13,1.83
low,50,OpenRouter,105.50,2.11,30.97
low,50,OpenAI_Whisper,2.40,0.05,0.70
low,50,Inworld_TTS,1.25,0.03,0.37
low,50,Gemini_2_5_Flash,4.00,0.08,1.17
low,50,ExtendAI,6.25,0.13,1.83
low,50,Vercel_Sandbox,82.53,1.65,24.22
low,100,Browserbase,56.00,0.56,9.00
low,100,Firecrawl,61.00,0.61,9.80
low,100,Composio,29.00,0.29,4.66
low,100,Supabase,25.00,0.25,4.02
low,100,Vercel,20.00,0.20,3.21
low,100,Brave_Search,15.00,0.15,2.41
low,100,Exa,12.50,0.13,2.01
low,100,OpenRouter,211.00,2.11,33.90
low,100,OpenAI_Whisper,4.80,0.05,0.77
low,100,Inworld_TTS,2.50,0.03,0.40
low,100,Gemini_2_5_Flash,8.00,0.08,1.29
low,100,ExtendAI,12.50,0.13,2.01
low,100,Vercel_Sandbox,165.05,1.65,26.52
base,1,Browserbase,20.00,20.00,16.82
base,1,Firecrawl,16.00,16.00,13.45
base,1,Composio,29.00,29.00,24.39
base,1,Supabase,25.10,25.10,21.11
base,1,Vercel,20.00,20.00,16.82
base,1,Brave_Search,0.40,0.40,0.34
base,1,Exa,0.32,0.32,0.27
base,1,OpenRouter,4.22,4.22,3.55
base,1,OpenAI_Whisper,0.12,0.12,0.10
base,1,Inworld_TTS,0.06,0.06,0.05
base,1,Gemini_2_5_Flash,0.20,0.20,0.17
base,1,ExtendAI,0.38,0.38,0.32
base,1,Vercel_Sandbox,3.12,3.12,2.62
base,5,Browserbase,20.00,4.00,12.94
base,5,Firecrawl,16.00,3.20,10.35
base,5,Composio,29.00,5.80,18.76
base,5,Supabase,25.50,5.10,16.50
base,5,Vercel,20.00,4.00,12.94
base,5,Brave_Search,2.00,0.40,1.29
base,5,Exa,1.60,0.32,1.04
base,5,OpenRouter,21.10,4.22,13.65
base,5,OpenAI_Whisper,0.60,0.12,0.39
base,5,Inworld_TTS,0.30,0.06,0.19
base,5,Gemini_2_5_Flash,1.00,0.20,0.65
base,5,ExtendAI,1.88,0.38,1.21
base,5,Vercel_Sandbox,15.61,3.12,10.10
base,10,Browserbase,20.00,2.00,10.04
base,10,Firecrawl,16.00,1.60,8.03
base,10,Composio,29.00,2.90,14.56
base,10,Supabase,26.00,2.60,13.05
base,10,Vercel,20.00,2.00,10.04
base,10,Brave_Search,4.00,0.40,2.01
base,10,Exa,3.20,0.32,1.61
base,10,OpenRouter,42.20,4.22,21.19
base,10,OpenAI_Whisper,1.20,0.12,0.60
base,10,Inworld_TTS,0.60,0.06,0.30
base,10,Gemini_2_5_Flash,2.00,0.20,1.00
base,10,ExtendAI,3.75,0.38,1.88
base,10,Vercel_Sandbox,31.21,3.12,15.67
base,25,Browserbase,35.00,1.40,9.45
base,25,Firecrawl,38.50,1.54,10.39
base,25,Composio,29.00,1.16,7.83
base,25,Supabase,27.50,1.10,7.42
base,25,Vercel,20.00,0.80,5.40
base,25,Brave_Search,10.00,0.40,2.70
base,25,Exa,8.00,0.32,2.16
base,25,OpenRouter,105.50,4.22,28.48
base,25,OpenAI_Whisper,3.00,0.12,0.81
base,25,Inworld_TTS,1.50,0.06,0.40
base,25,Gemini_2_5_Flash,5.00,0.20,1.35
base,25,ExtendAI,9.38,0.38,2.53
base,25,Vercel_Sandbox,78.03,3.12,21.07
base,50,Browserbase,74.00,1.48,10.85
base,50,Firecrawl,88.00,1.76,12.91
base,50,Composio,29.00,0.58,4.25
base,50,Supabase,30.00,0.60,4.40
base,50,Vercel,20.00,0.40,2.93
base,50,Brave_Search,20.00,0.40,2.93
base,50,Exa,16.00,0.32,2.35
base,50,OpenRouter,211.00,4.22,30.95
base,50,OpenAI_Whisper,6.00,0.12,0.88
base,50,Inworld_TTS,3.00,0.06,0.44
base,50,Gemini_2_5_Flash,10.00,0.20,1.47
base,50,ExtendAI,18.75,0.38,2.75
base,50,Vercel_Sandbox,156.05,3.12,22.89
base,100,Browserbase,152.00,1.52,11.65
base,100,Firecrawl,187.00,1.87,14.33
base,100,Composio,29.00,0.29,2.22
base,100,Supabase,35.00,0.35,2.68
base,100,Vercel,20.00,0.20,1.53
base,100,Brave_Search,40.00,0.40,3.07
base,100,Exa,32.00,0.32,2.45
base,100,OpenRouter,422.00,4.22,32.35
base,100,OpenAI_Whisper,12.00,0.12,0.92
base,100,Inworld_TTS,6.00,0.06,0.46
base,100,Gemini_2_5_Flash,20.00,0.20,1.53
base,100,ExtendAI,37.50,0.38,2.87
base,100,Vercel_Sandbox,312.10,3.12,23.92
high,1,Browserbase,20.00,20.00,14.75
high,1,Firecrawl,16.00,16.00,11.80
high,1,Composio,29.00,29.00,21.39
high,1,Supabase,25.60,25.60,18.88
high,1,Vercel,20.00,20.00,14.75
high,1,Brave_Search,1.25,1.25,0.92
high,1,Exa,0.95,0.95,0.70
high,1,OpenRouter,12.66,12.66,9.34
high,1,OpenAI_Whisper,0.36,0.36,0.27
high,1,Inworld_TTS,0.18,0.18,0.13
high,1,Gemini_2_5_Flash,0.67,0.67,0.49
high,1,ExtendAI,1.00,1.00,0.74
high,1,Vercel_Sandbox,7.93,7.93,5.85
high,5,Browserbase,26.00,5.20,10.46
high,5,Firecrawl,20.50,4.10,8.25
high,5,Composio,29.00,5.80,11.67
high,5,Supabase,28.00,5.60,11.27
high,5,Vercel,20.00,4.00,8.05
high,5,Brave_Search,6.25,1.25,2.52
high,5,Exa,4.75,0.95,1.91
high,5,OpenRouter,63.30,12.66,25.47
high,5,OpenAI_Whisper,1.80,0.36,0.72
high,5,Inworld_TTS,0.90,0.18,0.36
high,5,Gemini_2_5_Flash,3.33,0.67,1.34
high,5,ExtendAI,5.00,1.00,2.01
high,5,Vercel_Sandbox,39.67,7.93,15.96
high,10,Browserbase,50.00,5.00,11.57
high,10,Firecrawl,52.00,5.20,12.04
high,10,Composio,29.00,2.90,6.71
high,10,Supabase,31.00,3.10,7.18
high,10,Vercel,20.00,2.00,4.63
high,10,Brave_Search,12.50,1.25,2.89
high,10,Exa,9.50,0.95,2.20
high,10,OpenRouter,126.60,12.66,29.31
high,10,OpenAI_Whisper,3.60,0.36,0.83
high,10,Inworld_TTS,1.80,0.18,0.42
high,10,Gemini_2_5_Flash,6.65,0.67,1.54
high,10,ExtendAI,10.00,1.00,2.31
high,10,Vercel_Sandbox,79.34,7.93,18.37
high,25,Browserbase,131.00,5.24,13.21
high,25,Firecrawl,146.50,5.86,14.78
high,25,Composio,29.00,1.16,2.92
high,25,Supabase,40.00,1.60,4.03
high,25,Vercel,20.00,0.80,2.02
high,25,Brave_Search,31.25,1.25,3.15
high,25,Exa,23.75,0.95,2.40
high,25,OpenRouter,316.50,12.66,31.92
high,25,OpenAI_Whisper,9.00,0.36,0.91
high,25,Inworld_TTS,4.50,0.18,0.45
high,25,Gemini_2_5_Flash,16.63,0.67,1.68
high,25,ExtendAI,25.00,1.00,2.52
high,25,Vercel_Sandbox,198.36,7.93,20.01
high,50,Browserbase,266.00,5.32,13.81
high,50,Firecrawl,304.00,6.08,15.78
high,50,Composio,31.24,0.62,1.62
high,50,Supabase,55.00,1.10,2.86
high,50,Vercel,20.00,0.40,1.04
high,50,Brave_Search,62.50,1.25,3.24
high,50,Exa,47.50,0.95,2.47
high,50,OpenRouter,633.00,12.66,32.86
high,50,OpenAI_Whisper,18.00,0.36,0.93
high,50,Inworld_TTS,9.00,0.18,0.47
high,50,Gemini_2_5_Flash,33.25,0.67,1.73
high,50,ExtendAI,50.00,1.00,2.60
high,50,Vercel_Sandbox,396.73,7.93,20.60
high,100,Browserbase,536.00,5.36,14.11
high,100,Firecrawl,619.00,6.19,16.30
high,100,Composio,37.97,0.38,1.00
high,100,Supabase,85.00,0.85,2.24
high,100,Vercel,20.00,0.20,0.53
high,100,Brave_Search,125.00,1.25,3.29
high,100,Exa,95.00,0.95,2.50
high,100,OpenRouter,1266.00,12.66,33.33
high,100,OpenAI_Whisper,36.00,0.36,0.95
high,100,Inworld_TTS,18.00,0.18,0.47
high,100,Gemini_2_5_Flash,66.50,0.67,1.75
high,100,ExtendAI,100.00,1.00,2.63
high,100,Vercel_Sandbox,793.45,7.93,20.89
